induced,direction,other.unchanged,spor.unchanged,other.DExed,spor.DExed,m,n,k.DExed,hg.DExed,Padj.DExed
ELDg168,up,2789,567,193,29,645,3240,222,0.91696,1
ELDg168,down,2789,567,258,49,645,3240,307,0.58725,1
ELDg169,up,1291,192,861,390,645,3240,1251,3.2680999999999997e-60,1.9608599999999997e-59
ELDg169,down,1291,192,1088,63,645,3240,1151,1,1
Goe3,up,3221,640,17,5,645,3240,22,0.1444,0.43320000000000003
Goe3,down,3221,640,2,0,645,3240,2,0.30452,0.730848
sigF,up,1618,255,748,338,645,3240,1086,3.572e-48,1.4288e-47
sigF,down,1618,255,874,52,645,3240,926,1,1
sigG,up,2170,299,491,305,645,3240,796,4.744699999999999e-66,5.693639999999999e-65
sigG,down,2170,299,579,41,645,3240,620,1,1
SP10,up,3200,642,28,2,645,3240,30,0.89652,1
SP10,down,3200,642,12,1,645,3240,13,0.66172,1
